epoch,binary_accuracy,loss,lr,mse,precision,recall,val_binary_accuracy,val_loss,val_mse,val_precision,val_recall
13,0.7716049551963806,0.6274446249008179,1e-05,0.20270781219005585,0.9489796161651611,0.5740740895271301,0.6666666865348816,0.6576157212257385,0.26644355058670044,0.8260869383811951,0.42222222685813904
14,0.8074073791503906,0.6131615042686462,1e-05,0.17072853446006775,0.9611111283302307,0.6407407522201538,0.6555555462837219,0.6678420305252075,0.3128824830055237,0.8500000238418579,0.3777777850627899
15,0.8234567642211914,0.6073064208030701,1e-05,0.16075710952281952,0.9746376872062683,0.6641975045204163,0.6722221970558167,0.6649297475814819,0.30363503098487854,0.8604651093482971,0.41111111640930176
16,0.8444444537162781,0.5989934802055359,1e-05,0.14385844767093658,0.9761092066764832,0.7061728239059448,0.5972222089767456,0.6852772235870361,0.3689417541027069,0.8723404407501221,0.22777777910232544
17,0.8574073910713196,0.5958936214447021,1e-05,0.13589537143707275,0.9800994992256165,0.729629635810852,0.605555534362793,0.6793943643569946,0.3552265763282776,0.8518518805503845,0.25555557012557983
18,0.8623456954956055,0.5909262299537659,1e-05,0.1282784640789032,0.971107542514801,0.7469135522842407,0.675000011920929,0.6585896611213684,0.29373273253440857,0.8987341523170471,0.39444443583488464
19,0.8814814686775208,0.583845853805542,1e-05,0.11378860473632812,0.9920381903648376,0.7691357731819153,0.7277777791023254,0.6455718874931335,0.2560751438140869,0.918367326259613,0.5
20,0.88456791639328,0.5800361037254333,1e-05,0.1097603291273117,0.9874804615974426,0.7790123224258423,0.6555555462837219,0.664374828338623,0.31963711977005005,0.8888888955116272,0.35555556416511536
21,0.8901234865188599,0.5766273140907288,1e-05,0.1042155995965004,0.9876543283462524,0.790123462677002,0.6583333611488342,0.6624453663825989,0.30486464500427246,0.8701298832893372,0.3722222149372101
22,0.8913580179214478,0.5751262307167053,1e-05,0.10161393880844116,0.99071204662323,0.790123462677002,0.6777777671813965,0.6517229080200195,0.2789004147052765,0.8720930218696594,0.4166666567325592
23,0.9061728119850159,0.5692425966262817,1e-05,0.09019213169813156,0.992514967918396,0.8185185194015503,0.6472222208976746,0.6611623764038086,0.320910781621933,0.920634925365448,0.3222222328186035
24,0.9135802388191223,0.5656644105911255,1e-05,0.08577759563922882,0.997032642364502,0.8296296000480652,0.6666666865348816,0.6576945781707764,0.30511361360549927,0.8947368264198303,0.3777777850627899
25,0.9123457074165344,0.5634212493896484,1e-05,0.0846736803650856,0.99262535572052,0.8308641910552979,0.6583333611488342,0.6592102646827698,0.31007784605026245,0.8518518805503845,0.38333332538604736
26,0.9129629731178284,0.562965452671051,1e-05,0.0843612402677536,0.9970282316207886,0.8283950686454773,0.6694444417953491,0.6538283228874207,0.298260360956192,0.8860759735107422,0.3888888955116272
27,0.9098765254020691,0.562347948551178,1e-05,0.08443880081176758,0.9896755218505859,0.8283950686454773,0.7333333492279053,0.6338544487953186,0.25125280022621155,0.9200000166893005,0.5111111402511597
28,0.9191358089447021,0.5589733719825745,1e-05,0.08000807464122772,0.9956204295158386,0.8419753313064575,0.7277777791023254,0.6361901760101318,0.25249582529067993,0.9019607901573181,0.5111111402511597
29,0.9191358089447021,0.5565474629402161,1e-05,0.07791216671466827,0.9941775798797607,0.8432098627090454,0.6805555820465088,0.6455833315849304,0.2856607735157013,0.9012345671653748,0.4055555462837219
30,0.9135802388191223,0.558968722820282,1e-05,0.0797196626663208,0.9841040372848511,0.8407407402992249,0.7611111402511597,0.619867742061615,0.20005753636360168,0.8730158805847168,0.6111111044883728
31,0.9209876656532288,0.5562231540679932,1e-05,0.07464149594306946,0.9927745461463928,0.8481481671333313,0.6861110925674438,0.6455096006393433,0.2873208820819855,0.9036144614219666,0.4166666567325592
32,0.930246889591217,0.552410364151001,1e-05,0.06931743025779724,0.9971469044685364,0.8629629611968994,0.7138888835906982,0.632725179195404,0.25241392850875854,0.9139785170555115,0.4722222089767456
